"","X1","X2","X3"
"1",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"2",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"3",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"4",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"5",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"6",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"7",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"8",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"9",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"10",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"11",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"12",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"13",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"14",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"15",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"16",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"17",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"18",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"19",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"20",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"21",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"22",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"23",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"24",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"25",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"26",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"27",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"28",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"29",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"30",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"31",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"32",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"33",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"34",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"35",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"36",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"37",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"38",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
"39",0.000816618813810294,8.80524719040859e-05,0.000124064559921977
